  x,  dx,          y,        dy
0,0.2,-1.533593,0.027305
1,0.2,0.905861,0.04441
2,0.2,5.562907,0.468714
3,0.2,8.147916,0.370772
4,0.2,14.075539,0.276637
5,0.2,21.122157,1.392078
6,0.2,28.217222,0.975474
7,0.2,35.025089,0.183909
8,0.2,44.142273,3.200706
9,0.2,52.124722,1.636211
10,0.2,69.361882,5.358315
11,0.2,63.175535,10.205636
12,0.2,86.577051,3.188664
13,0.2,101.05357,0.677573
14,0.2,115.949418,0.483697
15,0.2,132.423342,2.042385
16,0.2,143.053947,10.482733
17,0.2,166.977796,2.076037
18,0.2,141.428941,21.384387
19,0.2,187.512328,9.7349
20,0.2,218.560737,18.587408
21,0.2,266.294511,14.72509
22,0.2,262.30883,23.706502
23,0.2,261.751216,27.379658
24,0.2,310.518893,5.763418
25,0.2,346.783984,13.111991
26,0.2,368.522592,16.065024
27,0.2,394.491222,22.62147
28,0.2,390.778409,21.497141
29,0.2,441.660436,2.612108
